id;date;datetime_source;id;name;popularity;type;date_name;lat;lng;popularity_median;followers_sum;danceability_median;energy_median;key_mode;loudness_median;mode_mode;speechiness_median;acousticness_median;instrumentalness_median;liveness_median;valence_median;duration_ms_mean;time_signature_mode
261;18/5/2018 0:00;;32635739;Lack of Afro with Crowd Company and Noble & Heath at 100 Club (May 18, 2018);0.003855;Concert;Friday;51.5160992;-0.1351725;30.5;23926;0.6885;0.8145;[2];-6.546;[1];0.0556;0.08405;0.19805;0.112;0.739;227589.35;[4]
269;18/5/2018 0:00;2018-05-18T22:30:00+0100;32737054;DJ Spen at The Jazz Cafe (May 18, 2018);0.000639;Concert;Friday;51.5387092;-0.1430815;36;4040;0.802;0.691;[9];-7.1585;[0];0.0591;0.003245;0.0731;0.06125;0.738;395075.9;[4]
271;18/5/2018 0:00;2018-05-18T19:30:00+0100;32855314;Ashley Henry with Anoushka Lucas at Rich Mix (May 18, 2018);5.90E-05;Concert;Friday;51.5242313;-0.0738117;25;2080;0.4815;0.4685;[7];-8.8515;[1];0.0402;0.724;4.58E-05;0.1135;0.367;290385.6;[4]
331;18/5/2018 0:00;2018-05-18T17:00:00+0100;33825329;Louisa Johnson with Autumn Sharif at Indigo at The O2 (May 18, 2018);0.007987;Concert;Friday;51.5011333;0.0016653;;;;;;;;;;;;;;
384;19/5/2018 0:00;2018-05-19T19:30:00+0100;33316534;Alvarez Kings, PLYA, and JOYYA at Birthdays (May 19, 2018) (CANCELLED) ;0.00099;Concert;Saturday;51.5517702;-0.0751825;21;6713;0.582;0.666;[9];-6.675;[1];0.0382;0.0371;2.66E-05;0.098;0.359;217048.8235;[4]
428;19/5/2018 0:00;2018-05-19T02:30:00+0100;33760344;Fabio And Grooverider, Ed Solo, MC GQ, The Ragga Twins, and 4 more… at Dalston Roof Park (May 19, 2018);0.003468;Concert;Saturday;51.5469092;-0.0747739;22.5;22152;0.633;0.785;[2];-6.135;[1];0.0615;0.0277;0.494;0.104;0.474;303721.6863;[4]
431;19/5/2018 0:00;2018-05-19T19:30:00+0100;33789254;The Haggis Horns with Crowd Company at 229 Venue (May 19, 2018);0.002282;Concert;Saturday;51.5233785;-0.1449626;24.5;13933;0.678;0.8145;[2];-6.381;[1];0.0443;0.05915;0.19805;0.159;0.8215;275374.05;[4]
434;19/5/2018 0:00;2018-05-19T19:00:00+0100;33804309;Hil St. Soul at Pizza Express - Holborn (May 19, 2018);0.00357;Concert;Saturday;51.5180357;-0.1186285;37;24745;0.7575;0.5225;[7];-7.56;[0];0.1175;0.12105;1.96E-06;0.1275;0.6195;254137.3;[4]
437;19/5/2018 0:00;2018-05-19T19:30:00+0100;33851634;M w S at St John's Hoxton (May 19, 2018);2.90E-05;Concert;Saturday;51.5305339;-0.0836235;24;386;0.673;0.609;[5];-5.4275;[1];0.08135;0.4355;1.22E-05;0.1345;0.5555;176955.8333;[4]
484;20/5/2018 0:00;2018-05-20T20:00:00+0100;33713329;Micki Miller at Vortex Jazz Club (May 20, 2018);1.70E-05;Concert;Sunday;51.5487082;-0.0764992;26;1746;0.547;0.55;[0];-9.1565;[1];0.0939;0.3535;3.16E-05;0.186;0.4695;245886.2;[4]
486;20/5/2018 0:00;;33730264;Urban Village Fete 2018;0.005958;Festival;Sunday;51.4825766;-0.0076589;22;20416;0.744;0.702;[1];-9.1425;[0];0.1052;0.0239;0.2045;0.108;0.781;307224.5;[4]
493;20/5/2018 0:00;2018-05-20T21:00:00+0100;33871689;Cece Peniston at Quaglino's (May 20, 2018);0.003379;Concert;Sunday;51.5072201;-0.1385825;49;24595;0.7585;0.739;[11];-6.645;[0];0.0411;0.00196;6.08E-05;0.06615;0.6295;262564.4;[4]
495;20/5/2018 0:00;2018-05-20T10:30:00+0100;33877509;Caiti Baker at Hoxton Square Bar & Kitchen (May 20, 2018);0.000121;Concert;Sunday;51.527476;-0.081657;31;1178;0.6295;0.526;[2];-7.968;[1];0.0537;0.10095;0.0461;0.2155;0.5365;227091.8;[4]
504;21/5/2018 0:00;2018-05-21T19:00:00+0100;33023279;Poppy Ajudha at Omeara (May 21, 2018);0.000717;Concert;Monday;51.5041429;-0.094603;52;7625;0.59;0.483;[6];-8.3475;[0];0.0423;0.379;0.00307485;0.1054;0.366;255820.3;[4]
513;21/5/2018 0:00;2018-05-21T19:00:00+0100;33524669;King's Kaleidoscope with Rivers & Robots at The Garage (May 21, 2018);0.004031;Concert;Monday;51.5466583;-0.1040639;48;33837;0.591;0.424;[0];-11.3465;[1];0.03225;0.4055;0.00677;0.129;0.229;265298.5;[4]
554;22/5/2018 0:00;2018-05-22T19:30:00+0100;33316304;Spitfire with Blue Nation, Three Kings High, and Katalina Kicks at Hope & Anchor (May 22, 2018);0.000741;Concert;Tuesday;51.5432832;-0.1035182;6;599;0.563;0.8065;[9];-6.5015;[1];0.04495;0.00237;0.0001885;0.178;0.4925;205058.55;[4]
556;22/5/2018 0:00;2018-05-22T19:30:00+0100;33343429;Kadija Kamara with Tiger Lion and Abi Wade at The Finsbury (May 22, 2018);0.000211;Concert;Tuesday;51.5718998;-0.0963439;12;1026;0.566;0.5005;[0];-9.455;[1];0.03595;0.556;0.00887;0.1335;0.2515;236031.9333;[4]
593;13/4/2018 0:00;2018-04-13T19:00:00+0100;32126629;Nathaniel Rateliff & The Night Sweats and Slim Cessna's Auto Club at O2 Shepherd's Bush Empire (April 13, 2018);0.02388;Concert;Friday;51.503507;-0.2238407;46.5;251007;0.4785;0.752;[2];-6.234;[1];0.04625;0.2145;0.0004745;0.126;0.5745;254313.2;[4]
595;13/4/2018 0:00;2018-04-13T19:00:00+0100;32288729;Georgie Fame at Fairkytes Arts Center (April 13, 2018);0.003722;Concert;Friday;51.5650145;0.2182053;35;5696;0.5915;0.5205;[3];-10.009;[1];0.04;0.307;8.74E-06;0.227;0.6805;187896.3;[4]
