osm_id,name,ref,type,oneway,bridge,maxspeed,WKT,x1,y1,x2,y2
30633984,,,service,1,0,,,529404.23,182326.32,529447.97,182326.32
30734439,,,footway,0,0,,,529920.67,180550.77,529883.60,180544.82
31065981,,,footway,0,0,,,529048.08,180243.91,529035.09,180243.91
31119204,,,service,0,0,,,530028.34,180239.32,530033.76,180239.32
31119210,Spring Gardens,,unclassified,0,0,,,529994.45,180330.81,530028.34,180261.43
31119233,Spring Gardens,,unclassified,1,0,,,529937.82,180346.01,529994.45,180337.34
31119775,,,footway,0,0,,,529884.13,180369.05,529892.18,180399.27
31119933,,,footway,0,0,,,529937.23,180075.32,529897.90,180066.71
31119937,,,footway,0,0,,,529908.87,180033.58,529809.11,180199.08
31120027,Villiers Street,,pedestrian,0,0,,,530253.93,180500.03,530382.09,180385.11
31142270,,,steps,0,0,,,530271.50,180547.10,530277.25,180547.10
31142668,,,footway,0,0,,,530109.61,180099.20,530124.15,180099.20
31142788,The Mall,,tertiary,1,0,30,,529967.21,180332.74,529994.45,180337.34
31142810,The Mall,,tertiary,1,0,30,,529942.88,180309.73,529959.05,180309.73
31142983,,,pedestrian,0,1,,,530192.68,180237.43,530177.55,180237.43
31143017,,,pedestrian,0,1,,,530000.93,180258.60,530004.80,180258.60
31200599,,,footway,0,0,,,530385.10,180211.79,530392.79,180211.79
31200612,,,footway,0,0,,,530382.11,180192.76,530388.41,180192.76
31200688,,,footway,0,1,,,530435.72,180275.73,530412.67,180275.73
31309016,Great Russell Street,,tertiary,0,0,20,,530113.69,181565.59,530072.72,181565.59
31327340,Hunt's Court,,footway,0,0,,,529975.66,180743.26,529941.71,180743.26
31329145,,,footway,0,0,,,529612.75,180888.05,529598.49,180888.05
31329653,Hop Gardens,,footway,0,0,,,530076.47,180746.41,530158.76,180754.38
31359564,,,footway,0,0,,,529679.78,181288.56,529720.68,181214.97
31359570,,,footway,0,0,,,529695.86,181262.37,529703.87,181247.93
31435273,,,service,0,0,,,528135.06,181733.08,528113.02,181755.03
31435274,,,service,0,0,,,528135.72,181733.08,528125.37,181733.08
31435275,St Andrews Mansions,,service,0,0,,,528110.86,181711.50,528102.50,181731.39
31435276,Admiral Court,,footway,0,0,,,528139.65,181545.45,528145.68,181533.31
31435280,Admiral Court,,footway,0,0,,,528136.69,181533.31,528176.91,181506.28
31435284,Admiral Court,,footway,0,0,,,528145.19,181506.28,528203.77,181514.74
31435295,Kendall Place,,unclassified,0,0,,,528103.80,181526.78,528129.99,181467.26
31435307,,,service,1,0,,,528021.14,181501.33,528031.05,181481.46
31435314,,,service,1,0,,,527958.46,181430.76,527967.38,181418.65
31435325,Portman Square,,tertiary,1,0,30,,527976.96,181288.95,528121.59,181332.41
31467248,,,footway,0,0,,,530160.35,180572.96,530156.12,180586.28
31476268,Tavistock Street,,unclassified,1,0,,,530520.38,180952.74,530563.27,180955.03
31476941,Long Acre,B402,secondary,1,0,30,,530409.22,181149.22,530334.43,181106.05
31477085,James Street,,pedestrian,0,0,,,530259.24,180990.41,530294.35,180990.41
31694073,,,footway,0,0,,,530724.07,181328.53,530807.77,181328.53
31694083,,,footway,0,0,,,530790.87,181328.53,530814.39,181314.23
31694191,,,footway,0,0,,,530704.37,181343.18,530681.10,181340.85
31694200,,,footway,0,0,,,530754.79,181457.22,530748.14,181460.52
32214693,,,footway,0,0,,,528850.70,180139.27,528857.89,180139.27
32214698,,,footway,0,0,,,528887.78,180096.63,528931.89,180096.63
